,City,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Wind Speed
155,Mweka,76,CD,98,-4.85,21.57,71.61,3.36
156,Chinsali,12,ZM,96,-10.54,32.08,70.75,4.41
157,Mpanda,88,TZ,95,-6.37,31.04,68.59,3.62
158,Muncar,24,ID,85,-8.43,114.33,84.97,3.51
159,Sayan,36,PE,94,-11.14,-77.19,59.46,3.91
160,Barabai,12,ID,63,-2.58,115.38,91.09,2.73
161,Ende,48,ID,100,-8.84,121.66,83.22,2.57
162,Mtambile,12,TZ,93,-5.38,39.7,83.94,3.85
163,Kondoa,0,TZ,65,-4.9,35.78,71.83,6.04
164,Tamandare,36,BR,98,-8.76,-35.1,74.94,6.6
165,Balikpapan,20,ID,79,-1.27,116.83,87.8,6.93
166,Kampene,92,CD,100,-3.6,26.67,68.32,2.51
167,Bangkalan,40,ID,59,-7.05,112.74,91.4,6.93
168,Naberera,24,TZ,62,-4.2,36.93,74.71,4.81
169,Aurora,40,US,28,39.73,-104.83,51.37,24.16
170,Uaua,0,BR,63,-9.84,-39.48,75.34,11.86
171,Kikwit,24,CD,90,-5.04,18.82,76.69,4.36
172,Bolobo,92,CD,96,-2.17,16.23,75.21,2.51
173,Carhuamayo,0,PE,99,-10.92,-76.03,28.0,2.39
174,Namalenga,0,TZ,70,-10.95,39.1,82.27,4.29
175,Nkhotakota,44,MW,93,-12.93,34.3,76.33,1.34
176,Ayna,44,PE,87,-12.65,-73.92,55.45,1.12
177,Jati,0,PK,28,24.35,68.27,75.97,13.58
178,Lukulu,20,ZM,76,-14.37,23.24,75.84,6.04
179,Mgandu,0,TZ,70,-5.95,34.13,72.28,6.42
180,Mafinga,0,TZ,60,-7.25,35.07,76.69,4.81
181,Mahenge,56,TZ,85,-8.68,36.72,77.23,3.24
182,Ngorongoro,0,TZ,69,-3.24,35.49,68.19,4.92
183,Micheweni,36,TZ,98,-4.97,39.83,83.08,3.74
184,Musoma,20,TZ,88,-1.5,33.8,69.8,6.15
185,Oriximina,0,BR,56,-1.77,-55.87,84.97,5.64
186,Lumeje,92,AO,98,-11.55,20.78,68.32,5.14
187,Lorengau,90,PG,83,-2.02,147.27,84.2,17.22
188,Kandrian,88,PG,91,-6.22,149.55,80.79,3.4
189,Oyotun,75,PE,88,-6.85,-79.3,64.4,18.34
190,Posse,68,BR,90,-14.09,-46.37,68.14,11.07
191,Nabire,36,ID,76,-3.37,135.48,81.06,1.79
192,Eirunepe,64,BR,90,-6.66,-69.87,77.64,2.13
193,Luena,92,AO,94,-11.78,19.92,67.15,4.36
194,Mtwango,32,TZ,79,-9.02,34.8,68.01,7.94
195,Olmos,0,PE,94,-5.98,-79.75,65.89,2.28
196,Urucara,0,BR,57,-2.54,-57.76,83.22,5.53
197,Vilhena,0,BR,94,-12.74,-60.15,71.38,2.01
198,Cabedelo,40,BR,83,-6.98,-34.83,77.0,4.7
199,Coahuayana,8,MX,100,18.73,-103.68,76.33,4.41
200,Touros,92,BR,88,-5.2,-35.46,78.72,13.09
201,Chirongui,20,YT,70,-12.93,45.15,86.0,3.36
202,Ewo,24,CG,94,-0.87,14.82,71.97,3.91
203,Madimba,40,TZ,83,-10.4,40.33,82.4,3.91
204,Lichinga,75,MZ,83,-13.31,35.24,69.8,13.87
205,Lufilufi,90,WS,94,-13.87,-171.6,80.6,10.29
206,Carutapera,0,BR,82,-1.2,-46.02,80.16,11.63
207,Jaru,20,BR,89,-10.44,-62.47,76.15,2.06
208,Soe,36,ID,98,-9.86,124.28,74.98,2.28
209,Parintins,0,BR,55,-2.63,-56.74,84.52,6.38
210,Anori,0,BR,89,-3.77,-61.64,77.82,2.62
211,Mahanje,92,TZ,93,-9.93,35.33,71.07,3.58
212,Parrita,0,CR,73,9.52,-84.32,69.8,11.41
213,Chumphon,75,TH,74,10.5,99.17,84.2,11.41
214,Dodola,0,ET,55,6.98,39.18,54.46,4.03
215,Betong,64,TH,81,5.77,101.07,84.25,2.62
216,Ferkessedougou,24,CI,83,9.6,-5.2,69.8,2.01
217,Idah,0,NG,95,7.11,6.73,68.23,3.13
218,Guamo,80,CO,93,4.03,-74.97,69.4,2.35
219,Edea,40,CM,100,3.8,10.13,77.0,4.03
220,Jaque,88,PA,98,7.52,-78.17,74.08,1.23
221,Bugaan,40,PH,74,14.04,120.94,86.0,3.36
222,Abidjan,20,CI,94,5.31,-4.02,77.0,4.7
223,Soubre,56,CI,98,5.79,-6.61,72.1,3.06
224,Manado,40,ID,70,1.49,124.85,87.8,5.82
225,Colombo,40,LK,62,6.93,79.85,86.0,10.29
226,Tumpat,75,MY,79,6.2,102.17,84.99,9.17
227,Mutis,92,CO,100,6.23,-77.4,76.02,5.26
228,Damara,88,CF,94,4.96,18.7,69.8,2.24
229,Acajutla,0,SV,53,13.59,-89.83,80.2,10.18
230,Jinka,0,ET,39,5.65,36.65,77.37,3.51
231,Mersing,76,MY,98,2.43,103.84,82.45,2.39
232,Alur,0,IN,72,12.98,75.98,76.69,9.62
233,Jinotega,64,NI,88,13.09,-86.0,67.15,3.51
234,Sapa,12,PH,100,5.15,120.32,84.57,8.95
235,Adiake,20,CI,94,5.29,-3.3,77.0,4.7
236,Olutanga,12,PH,100,7.31,122.85,83.22,2.06
237,Nguru,0,NG,41,12.88,10.45,57.52,8.05
238,Gusau,0,NG,35,12.16,6.66,62.38,10.67
239,Mao,20,ES,61,39.89,4.27,48.2,8.05
240,Sangueya,56,GN,86,10.7,-14.37,71.47,4.14
241,Gaya,0,IN,40,24.78,85.0,71.6,5.82
242,Weligama,0,LK,99,5.97,80.42,83.17,5.53
243,Grenville,75,GD,88,12.12,-61.62,80.6,8.05
244,Tchaourou,0,BJ,77,8.89,2.6,65.44,5.26
245,Moyo,0,UG,67,3.66,31.72,76.96,3.85
246,Karwar,12,IN,64,14.8,74.13,82.41,4.81
247,Tamale,0,GH,47,9.4,-0.84,66.39,2.13
248,Tecoanapa,0,MX,99,16.52,-98.75,60.94,2.51
249,Mankono,36,CI,96,8.06,-6.19,70.21,5.14
250,Mali,44,GN,86,12.08,-12.3,60.72,2.35
251,Bonfim,8,BR,53,3.08,-59.95,84.84,12.91
252,Idanre,0,NG,88,7.11,5.12,67.02,3.51
253,Acacias,24,CO,93,3.99,-73.76,56.62,1.28
254,Harer,0,ET,39,9.31,42.13,65.94,4.63
255,Obo,8,CF,78,5.4,26.49,72.06,8.28
256,Bentiu,20,SS,73,9.23,29.83,73.54,5.64
257,Moussoro,0,TD,24,13.64,16.49,61.03,10.67
258,Madras,1,US,85,44.63,-121.13,23.0,6.08
259,Apatou,0,GF,82,5.16,-54.35,76.33,4.14
260,Belawan,75,ID,74,3.78,98.68,86.0,9.17
261,Suba,0,PH,100,10.84,121.01,83.8,8.05
262,Yarim,32,YE,71,14.3,44.38,49.51,4.41
263,Coro,68,VE,100,11.4,-69.67,76.69,9.33
264,Balaipungut,75,ID,62,1.05,101.28,89.6,4.7
265,Mambolo,8,SL,97,8.92,-13.04,80.11,7.16
266,Aksum,0,ET,51,14.12,38.72,60.27,3.36
267,Kadambur,20,IN,88,8.98,77.87,82.9,8.39
268,Orocue,0,CO,71,4.79,-71.34,78.04,3.91
269,Yangjiang,0,CN,99,21.85,111.97,68.68,18.39
270,Luoyang,36,CN,72,34.68,112.45,39.97,4.52
271,Chaiyaphum,24,TH,55,15.81,102.03,82.36,17.11
272,Ahraura,24,IN,89,25.02,83.02,66.97,4.36
273,Mau,44,IN,86,25.95,83.55,67.47,4.59
274,Suez,0,EG,74,29.97,32.53,49.47,2.28
275,Sheoganj,24,IN,60,25.15,73.07,75.07,4.52
276,Khatima,92,IN,82,28.92,79.97,64.09,1.39
277,Sidhi,68,IN,56,24.42,81.88,70.75,4.52
278,Susner,36,IN,46,23.95,76.08,74.44,9.06
279,Aligarh,68,IN,75,27.88,78.08,69.09,3.36
280,Bacalar,64,MX,100,18.67,-88.38,76.33,9.55
281,Charlestown,75,AU,82,-32.95,151.67,66.2,20.8
282,Matam,0,SN,56,15.62,-13.33,65.26,8.28
283,Izamal,20,MX,83,20.93,-89.02,73.4,6.93
284,Haimen,40,CN,56,23.19,116.61,73.4,4.47
285,Jiaojiang,56,CN,65,28.68,121.44,57.25,12.19
286,Dwarka,8,IN,89,22.24,68.97,78.04,16.15
287,Bilma,68,NE,56,18.69,12.92,54.69,2.73
288,Tangping,56,CN,64,22.03,111.93,67.78,9.84
289,Darbhanga,0,IN,36,26.17,85.9,79.39,5.53
290,Culiacan,32,MX,91,24.8,-107.39,69.36,4.63
291,Nassau,20,BS,69,25.06,-77.34,75.2,6.93
292,Khatra,0,IN,70,22.98,86.85,75.43,7.38
293,Diplo,0,PK,44,24.47,69.58,74.71,8.95
294,Etla,0,MX,86,17.06,-96.79,42.27,2.24
295,Sabinas,12,MX,83,27.85,-101.12,52.12,2.8
296,Dangriga,88,BZ,86,16.97,-88.23,79.44,8.43
297,Chocaman,0,MX,87,19.02,-97.02,37.86,1.01
298,Bhasawar,36,IN,54,27.03,77.03,72.1,4.52
299,Yulin,0,CN,60,22.63,110.15,69.13,8.05
300,Padampur,0,IN,51,29.68,73.62,71.79,6.53
301,Mapimi,88,MX,75,25.82,-103.85,48.25,2.51
302,Hesla,0,IN,52,24.07,85.88,73.41,4.52
303,Gaurnadi,0,BD,68,22.97,90.23,79.03,6.31
304,Ximei,75,CN,49,24.96,118.38,73.4,15.66
305,Manzanillo,0,CU,100,20.34,-77.12,77.91,19.73
306,Mazatlan,75,MX,94,23.22,-106.42,68.0,2.13
307,Nanchang,0,CN,73,28.68,115.88,59.41,14.43
308,Monywa,0,MM,72,22.12,95.13,80.11,7.54
309,Shimoda,75,JP,62,34.67,138.95,55.4,2.24
310,Wuzhou,0,CN,67,23.48,111.32,68.14,6.04
311,Barpeta,40,IN,73,26.32,91.0,77.0,6.93
312,Bheramara,0,BD,75,24.02,88.99,75.84,9.44
313,Ayutla,0,MX,84,20.12,-104.33,47.89,2.39
314,Manama,0,BH,68,26.22,50.58,65.89,14.99
315,Puqi,48,CN,88,29.72,113.88,55.32,14.81
316,Nishihara,75,JP,60,26.18,127.76,70.39,25.28
317,Adrar,68,DZ,38,27.87,-0.29,42.8,16.11
318,Dubai,0,AE,44,25.26,55.3,77.94,14.99
319,Varangaon,56,IN,58,21.02,75.9,76.11,8.77
320,Ziro,40,IN,53,27.63,93.83,77.0,3.36
321,Brownsville,1,US,94,25.9,-97.5,72.5,8.05
322,Gushikawa,90,JP,68,26.35,127.87,70.41,20.8
323,Mabai,48,CN,80,23.01,104.45,60.13,1.57
324,Nieves,75,PH,63,15.33,120.95,91.4,5.82
325,Lianzhou,20,CN,74,24.78,112.38,60.54,3.4
326,Miami,20,US,78,25.77,-80.19,68.0,6.82
327,Healdsburg,1,US,87,38.61,-122.87,43.16,11.41
328,Ohara,75,JP,66,35.25,140.38,54.79,6.93
329,Esfarayen,0,IR,80,37.08,57.51,30.2,2.24
330,Columbus,1,US,80,39.96,-83.0,34.79,4.7
331,Van,0,TR,74,38.49,43.38,37.4,2.24
332,Vernon,75,CA,100,50.26,-119.27,23.0,1.79
333,Qom,8,IR,93,34.64,50.88,37.86,6.38
334,Eregli,8,TR,64,37.51,34.05,32.95,2.62
335,Clinton,1,US,89,42.59,-82.92,36.99,7.05
336,Zadar,0,HR,79,44.12,15.24,26.6,3.36
337,Laiyang,0,CN,48,36.98,120.71,33.58,18.84
338,Ulcinj,75,ME,100,41.93,19.22,42.8,5.82
339,Salamiyah,0,SY,66,35.01,37.05,39.66,2.8
340,Harrisonburg,1,US,92,38.45,-78.87,29.35,2.13
341,Kargil,48,IN,74,34.57,76.1,6.27,1.83
342,Russellville,75,US,72,35.28,-93.13,60.8,5.82
343,Gilgit,36,PK,81,35.92,74.31,18.51,0.78
344,Rockingham,75,AU,73,-32.28,115.72,71.6,5.82
345,Timizart,92,DZ,100,36.8,4.27,40.42,1.9
346,Cabot,1,US,71,34.97,-92.02,54.12,9.06
347,Rosetta,0,EG,89,31.4,30.42,56.31,3.4
348,Kant,92,IN,89,27.8,79.8,65.31,4.41
349,Almeria,0,ES,56,36.84,-2.46,41.0,14.99
350,Gainesville,1,US,100,29.65,-82.32,56.84,6.04
351,Nahrin,80,AF,89,36.06,69.13,23.23,2.91
352,Brigantine,90,US,100,39.41,-74.36,30.15,3.36
353,Zaranj,0,AF,28,30.97,61.88,42.8,21.92
354,Lipari,0,IT,75,38.47,14.95,46.4,5.82
355,Antigonish,90,CA,100,45.62,-62.0,32.0,3.36
356,Xiaoshi,0,CN,26,41.3,124.12,21.2,8.95
357,Karatau,76,KZ,85,43.17,70.47,20.49,4.07
358,Owatonna,75,US,71,44.08,-93.23,51.96,16.11
359,Chichibu,75,JP,50,35.99,139.08,51.8,8.05
360,Magnolia,1,US,82,33.27,-93.24,56.53,3.36
361,Fukagawa,40,JP,63,43.71,142.04,28.4,4.7
362,Hagersville,75,CA,100,42.97,-80.05,27.28,4.7
363,Tatsuno,75,JP,75,34.87,134.55,50.02,2.24
364,Shanghai,75,CN,62,31.22,121.46,54.55,13.42
365,Kitob,90,UZ,85,39.08,66.83,23.0,9.17
366,Terryville,75,US,93,40.91,-73.07,37.26,4.59
367,Temple,90,US,93,31.1,-97.34,64.67,11.41
368,Butler,1,US,92,40.86,-79.9,30.31,2.28
369,Xuchang,0,CN,36,34.02,113.82,44.6,4.47
370,Santander,75,ES,93,43.46,-3.8,48.2,2.24
371,Pteleos,40,GR,81,39.05,22.95,48.2,5.82
372,Plainview,75,US,93,40.78,-73.47,37.71,4.59
373,Trabzon,0,TR,45,40.92,39.83,62.6,3.36
374,Olean,40,US,100,42.08,-78.43,28.83,2.24
375,Laurel,1,US,92,39.1,-76.85,32.41,2.51
376,Sinjar,0,IQ,69,36.32,41.88,43.84,2.73
377,Milledgeville,90,US,100,33.08,-83.23,44.94,4.07
378,Beckley,0,US,92,37.78,-81.19,36.0,2.24
379,Vieste,20,IT,93,41.88,16.18,41.0,11.41
380,Sakaiminato,75,JP,81,35.55,133.23,48.2,6.93
381,Quchan,0,IR,58,37.11,58.51,27.1,3.36
382,Cody,40,US,86,44.53,-109.06,28.4,23.04
383,Alanya,12,TR,100,36.54,32.0,55.32,0.56
384,Bantry,20,IE,100,51.68,-9.45,39.66,4.29
385,Buncrana,75,IE,100,55.13,-7.45,46.4,8.05
386,Puchezh,92,RU,97,56.98,43.17,32.86,10.96
387,Oster,90,UA,100,50.95,30.88,33.8,11.18
388,Vanderhoof,12,CA,70,54.02,-124.02,7.21,2.35
389,Gueret,90,FR,100,46.17,1.87,33.8,4.63
390,Pirna,90,DE,93,50.96,13.94,35.6,12.75
391,Tupik,24,RU,27,54.43,119.93,-20.15,3.36
392,Perelyub,92,RU,89,51.87,50.37,25.12,15.37
393,Selenginsk,90,RU,85,52.01,106.86,17.6,6.71
394,Mikhaylovskoye,64,RU,91,51.82,79.72,12.97,5.37
395,Kosh-Agach,0,RU,54,50.0,88.67,9.37,3.06
396,Arsk,90,RU,100,56.09,49.88,30.2,13.42
397,Vikhorevka,75,RU,85,56.12,101.16,17.6,15.66
398,Ucluelet,0,CA,100,48.93,-125.55,26.83,2.62
399,Kreuztal,90,DE,100,50.97,7.98,40.12,4.7
400,Powassan,90,CA,100,46.03,-79.35,33.8,4.7
401,Petrovskoye,88,RU,90,57.01,39.27,20.26,8.61
402,Treuchtlingen,75,DE,91,48.95,10.92,32.0,18.34
403,Yelan,92,RU,90,50.95,43.74,35.56,16.93
404,Vorchdorf,75,AT,91,48.0,13.92,32.0,13.87
405,Kholtoson,8,RU,64,50.3,103.31,18.46,8.28
406,Manitouwadge,76,CA,87,49.12,-85.84,33.54,6.64
407,Primorsko-Akhtarsk,80,RU,77,46.05,38.17,46.63,8.16
408,Banff,0,CA,65,51.18,-115.57,-4.85,1.57
409,Barnbach,40,AT,92,47.03,15.85,17.67,2.24
410,Holoby,88,UA,90,51.09,25.01,27.96,10.63
411,Atkarsk,92,RU,92,51.87,45.01,34.03,13.58
412,Satka,92,RU,82,55.04,59.04,22.06,10.11
413,Zagreb,0,HR,92,45.81,15.98,20.16,3.36
414,Hearst,56,CA,88,49.68,-83.67,26.83,3.58
415,Epernay,90,FR,100,49.05,3.95,33.8,5.82
416,Pavlodar,64,KZ,92,52.3,76.95,17.6,6.71
417,Brainerd,90,US,85,46.36,-94.2,40.1,5.82
418,Novobirilyussy,88,RU,77,56.95,90.67,19.14,12.41
419,Solnechnyy,0,RU,66,50.72,136.63,-14.84,2.62
420,Osinovo,90,RU,100,55.88,48.88,30.2,13.42
421,Dno,76,RU,84,57.83,29.96,23.14,7.76
422,Baijiantan,20,CN,78,45.63,85.18,24.72,4.29
423,Vetluga,92,RU,94,57.86,45.78,33.09,5.03
424,Xinqing,0,CN,50,48.23,129.5,-4.22,3.8
425,Gizycko,80,PL,100,54.04,21.76,32.5,13.65
426,Abay,0,KZ,92,49.63,72.85,12.2,4.47
427,Ust-Tarka,92,RU,89,55.57,75.7,18.69,14.2
428,Zheleznodorozhnyy,90,RU,91,55.75,38.0,30.2,8.95
429,Khuzhir,64,RU,100,53.19,107.34,11.8,5.3
430,Ozernovskiy,68,RU,94,51.5,156.52,22.96,15.59
431,Yekaterinoslavka,8,RU,56,50.37,129.11,-11.47,5.03
432,Petukhovo,92,RU,88,55.07,67.9,21.34,14.92
433,Putyatino,88,RU,92,54.16,41.12,34.66,17.6
434,Torquay,90,GB,100,50.46,-3.51,30.2,2.24
435,Osorheiu,90,RO,98,47.03,22.05,32.0,12.75
436,Suzun,64,RU,83,53.78,82.31,13.24,12.97
437,Caribou,90,US,86,46.86,-68.01,27.79,3.36
438,Temir,88,KZ,89,49.14,57.13,13.15,8.84
